 PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
26391 chris     20   0 5601096 559616  78884 S  13.0 14.1  17:37.79 iceweasel
 1272 root      20   0  377816 169696  19076 S   6.5  4.3  23:57.39 Xorg
    1 root      20   0   29348   5316   3096 S   0.0  0.1   0:04.44 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:11.10 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0.0  0.0   0:47.38 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:03.01 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:01.37 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:01.51 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:01.98 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   0:06.78 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   16 root      rt   0       0      0      0 S   0.0  0.0   0:01.47 watchdog/2
   17 root      rt   0       0      0      0 S   0.0  0.0   0:03.24 migration/2
   18 root      20   0       0      0      0 S   0.0  0.0   0:04.44 ksoftirqd/2
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   21 root      rt   0       0      0      0 S   0.0  0.0   0:00.97 watchdog/3
   22 root      rt   0       0      0      0 S   0.0  0.0   0:02.41 migration/3
   23 root      20   0       0      0      0 S   0.0  0.0   0:04.61 ksoftirqd/3
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   29 root      20   0       0      0      0 S   0.0  0.0   0:00.13 khungtaskd
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   31 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   32 root      39  19       0      0      0 S   0.0  0.0   0:00.00 khugepaged
   33 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   35 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   36 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.23 kswapd0
   39 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
   45 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
   48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   93 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_thermal_pm
   94 root      20   0       0      0      0 S   0.0  0.0   0:00.04 khubd
   96 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
  123 root      20   0       0      0      0 S   0.0  0.0   0:00.02 scsi_eh_0
  124 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  125 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_1
  126 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  127 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  128 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
  129 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  130 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
  139 root       0 -20       0      0      0 S   0.0  0.0   0:00.25 kworker/2:1H
  178 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
  179 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  180 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kcryptd_io
  181 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kcryptd
  182 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  184 root       0 -20       0      0      0 S   0.0  0.0   0:00.06 kworker/3:1H
  189 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
  190 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  192 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
  193 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  220 root      20   0       0      0      0 S   0.0  0.0   0:03.64 jbd2/dm-1-8
  221 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  246 root       0 -20       0      0      0 S   0.0  0.0   0:02.20 kworker/0:1H
  247 root       0 -20       0      0      0 S   0.0  0.0   0:00.08 kworker/1:1H
  262 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kauditd
  266 root      20   0   33060   3520   3156 S   0.0  0.1   0:03.74 systemd-journal
  296 root      20   0   41500   3856   2768 S   0.0  0.1   0:01.33 systemd-udevd
  364 root     -51   0       0      0      0 S   0.0  0.0   4:11.04 irq/30-DLL0655:
  371 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hd-audio0
  377 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  378 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
  391 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kvm-irqfd-clean
  396 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hd-audio1
  443 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  450 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmemstick
  451 root      20   0       0      0      0 S   0.0  0.0   0:20.72 rtsx_usb_ms_5
  459 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  499 root      16  -4   48320   2968   2588 S   0.0  0.1   0:00.25 auditd
  660 root      20   0   37080   2676   2268 S   0.0  0.1   0:00.34 rpcbind
  669 statd     20   0   37280   2960   2372 S   0.0  0.1   0:00.00 rpc.statd
  674 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rpciod
  676 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 nfsiod
  683 root      20   0   23356    204      4 S   0.0  0.0   0:00.00 rpc.idmapd
  690 daemon    20   0   19024   1768   1600 S   0.0  0.0   0:00.00 atd
  691 root      20   0  336276   8116   6900 S   0.0  0.2   0:00.03 ModemManager
  693 root      20   0   55184   5328   4656 S   0.0  0.1   0:00.00 sshd
  695 root      20   0   27504   2720   2436 S   0.0  0.1   0:00.30 cron
  700 root      20   0   28336   2964   2604 S   0.0  0.1   0:00.96 systemd-logind
  705 avahi     20   0   32220   3020   2692 S   0.0  0.1   0:05.51 avahi-daemon
  706 message+  20   0   42388   3640   2988 S   0.0  0.1   8:03.84 dbus-daemon
  725 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:1
  736 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:1
